Volume_contributeurs,Projet,Note moyenne test,Interprétation ICC test,Note moyenne documentation,Interprétation ICC documentation
Peu,offseason_missiontransition_categorisation,5.35,poor,7.77,good
Peu,website2022,1.75,poor,8.2,excellent
Peu,batch11_cartovegetation,0.25,poor,7.71,excellent
Peu,protectclimateactivists,0.15,poor,4.71,good
Peu,13_ia_financement,1.7,poor,11.2,moderate
Peu,14_PrixChangementClimatique,0.35,poor,4.54,moderate
Beaucoup,batch4_diafoirus_fleming,0.1,poor,3.61,moderate
Beaucoup,batch5_phenix_happymeal,4.15,poor,7.41,good
Beaucoup,bechdelai,7.6,poor,9.98,excellent
Beaucoup,offseason_ogre,4.8,poor,9.98,excellent
Beaucoup,13_democratiser_sobriete,6.15,poor,9.32,good
Beaucoup,shiftdataportal,4.25,poor,6.21,good
